,0,1,2,3,4
203,1.8,4.2,6.5,2.8,1.7
296,1.8,15.4,16.7,8.6,5.1
640,1.6,2.8,2.1,1.52,0.62
6,1.6,5.46,4.4,1.92,1.3
66,1.6,1.4,1.6,0.48,0.48
420,1.6,2.66,2.0,1.04,0.84
593,1.6,3.5,4.7,3.56,2.16
755,1.6,2.52,3.0,1.92,1.04
188,1.6,1.4,1.5,1.04,0.48
76,1.4,2.1,2.0,1.32,0.82
49,1.4,3.92,6.7,4.04,1.98
283,1.4,1.82,2.3,0.92,0.76
59,1.4,2.8,5.8,4.0,2.8
92,1.4,2.66,1.0,0.68,0.36
604,1.4,2.66,2.6,0.92,0.62
576,1.4,1.82,2.1,1.16,0.7
591,1.4,1.96,3.1,0.96,0.56
30,1.4,0.14,0.3,0.08,0.06
278,1.4,1.54,3.4,0.76,0.76
347,1.4,4.48,4.9,1.96,1.42
140,1.2,2.52,1.8,1.0,0.68
282,1.2,2.24,1.1,0.56,0.12
766,1.2,1.26,0.5,0.44,0.28
707,1.2,3.36,6.3,6.32,5.06
234,1.2,1.68,2.2,0.84,0.4
450,1.2,2.38,1.9,0.68,0.38
74,1.2,2.38,3.6,1.44,1.2
61,1.2,3.08,7.1,2.2,1.64
237,1.0,1.82,1.5,1.44,0.54
686,1.0,0.7,0.7,0.36,0.2
178,1.0,0.56,0.1,0.04,0.06
224,1.0,0.98,0.7,0.48,0.48
137,1.0,0.14,0.1,0.08,0.02
160,1.0,2.38,3.1,1.52,1.04
119,0.8,1.96,2.4,0.68,0.72
545,0.8,1.82,3.5,3.4,2.24
754,0.8,0.56,,0.4,0.08
769,0.8,0.14,0.3,0.16,0.22
590,0.8,0.56,0.7,0.4,0.3
280,0.8,0.7,1.8,0.84,0.66
770,0.8,4.48,6.1,3.28,2.18
386,0.8,0.84,0.8,0.04,0.02
757,0.8,0.98,1.5,0.8,0.64
688,0.6,0.98,2.2,0.72,0.54
772,0.6,4.34,4.3,2.32,1.22
114,0.6,2.66,3.3,2.0,1.52
211,0.6,0.7,0.1,0.28,0.14
614,0.6,1.26,0.5,0.4,0.28
226,0.6,0.42,0.1,0.08,0.04
239,0.6,0.56,1.0,0.72,0.3
512,0.6,0.98,2.3,1.64,1.0
248,0.6,0.56,0.6,1.0,0.62
64,0.6,2.24,1.9,1.32,0.94
187,0.6,0.7,1.7,1.28,0.86
391,0.6,0.7,0.8,0.64,0.4
312,0.6,0.7,1.6,0.88,0.52
311,0.4,0.98,0.6,0.56,0.42
330,0.4,1.68,0.6,0.6,0.34
316,0.4,0.14,0.7,0.4,0.28
725,0.4,1.82,2.5,1.64,0.94
303,0.4,1.68,1.2,0.52,0.64
156,0.4,0.42,0.4,0.16,0.14
286,0.4,,,,
124,0.4,1.12,0.7,0.6,0.46
251,0.4,0.28,1.0,0.64,0.42
737,0.4,4.62,3.2,1.0,0.72
236,0.4,,0.2,,
279,0.4,0.14,0.1,0.12,0.04
706,0.4,0.98,1.0,0.84,0.78
75,0.4,0.7,0.2,0.08,
691,0.4,0.42,0.4,1.04,0.42
546,0.4,,,,
527,0.4,0.28,0.3,0.4,0.24
684,0.4,1.68,3.5,1.36,0.92
504,0.4,0.14,0.2,0.04,0.02
19,0.4,0.42,0.2,0.04,0.06
483,0.4,0.14,0.7,0.28,0.12
42,0.4,1.12,1.2,0.64,0.4
58,0.4,0.28,0.4,0.28,0.04
393,0.4,1.96,1.7,0.84,0.62
392,0.4,1.12,1.1,0.56,0.22
214,0.4,1.12,2.4,1.24,1.02
60,0.2,0.28,0.1,0.24,0.1
207,0.2,1.96,2.6,2.12,1.06
47,0.2,1.26,1.1,0.36,0.26
771,0.2,0.28,0.5,0.24,0.22
661,0.2,0.14,0.4,0.2,0.1
229,0.2,0.28,0.1,0.04,0.04
372,0.2,0.28,0.3,0.04,
629,0.2,0.98,0.9,0.48,0.34
502,0.2,0.98,1.3,0.56,0.4
477,0.2,0.14,0.2,0.12,0.08
469,0.2,0.14,1.2,0.36,0.48
401,0.2,,0.1,0.08,0.08
375,0.2,,0.4,0.24,0.24
361,0.2,0.14,0.1,0.08,0.06
744,0.2,0.28,0.5,0.6,0.3
353,0.2,0.98,1.1,0.64,0.42
351,0.2,1.26,0.8,0.64,0.4
639,0.2,1.12,0.9,0.28,0.34
268,0.2,,,,0.02
256,0.2,0.14,,0.04,0.12
232,0.2,0.42,0.6,0.24,0.14
2,0.2,,0.3,0.56,0.22
5,,,,,0.02
7,,0.14,,,
10,,,0.3,0.24,0.3
15,,,,,0.02
17,,,0.2,0.08,0.04
27,,0.28,1.1,0.72,0.42
33,,0.84,1.2,0.56,0.4
55,,,0.3,0.32,0.18
57,,0.28,0.1,0.12,0.06
65,,,0.1,0.08,
71,,0.28,0.2,0.24,0.18
79,,,0.1,,
80,,4.34,4.4,1.76,1.1
85,,,,,0.02
86,,,0.2,0.04,0.06
88,,,,,0.02
95,,0.56,0.7,0.92,0.6
98,,,,0.04,0.08
103,,22.54,19.6,11.4,6.92
108,,,,,0.02
117,,0.7,0.4,0.32,0.18
126,,0.14,0.1,,
128,,,,0.04,
138,,,,0.04,0.04
144,,2.94,4.6,2.68,1.7
147,,1.68,0.7,0.8,0.44
154,,,0.2,0.08,0.04
155,,,,0.04,0.02
165,,,,,0.04
172,,0.14,1.6,0.96,0.94
177,,,,0.08,
184,,,0.1,0.04,0.06
192,,,,0.2,0.12
196,,,0.1,,0.04
201,,,,0.04,0.08
205,,,,,0.02
216,,,0.1,0.04,0.04
231,,,,0.12,0.04
235,,,0.1,,
246,,0.14,,0.12,0.28
249,,,,0.04,0.06
250,,,0.6,0.48,0.28
253,,,,0.24,0.08
260,,0.56,0.8,0.84,0.5
261,,1.26,1.8,0.72,0.68
281,,,0.6,0.64,0.46
294,,1.4,3.3,1.88,1.36
295,,0.14,0.1,0.4,0.18
300,,,,,0.02
313,,0.42,0.3,0.36,0.2
318,,3.36,0.9,0.52,0.22
324,,0.28,,,
336,,,,,0.04
338,,,,,0.02
352,,,0.3,0.08,0.12
354,,0.14,0.2,0.2,0.14
357,,,0.2,0.32,0.14
366,,,,0.16,0.04
370,,0.14,0.6,0.16,0.1
376,,,,0.08,0.06
381,,27.58,14.7,4.0,1.96
384,,,,0.08,0.12
389,,,0.1,,
395,,0.14,0.1,0.32,0.14
404,,0.28,0.6,0.28,0.18
410,,0.42,0.7,0.32,0.36
422,,,0.3,0.04,0.16
427,,,0.2,0.2,0.14
428,,,,,0.04
430,,,,,0.02
431,,,,0.04,
441,,0.28,0.3,0.2,0.3
442,,,0.1,0.52,0.5
449,,61.04,33.5,13.12,5.96
452,,0.14,,,0.1
464,,,,0.08,0.04
470,,,0.6,0.08,0.16
475,,,0.1,0.64,0.48
493,,,,,0.02
494,,,,,0.02
506,,,0.1,0.2,0.08
521,,,0.2,,0.02
523,,0.42,0.9,0.28,0.22
524,,,,,0.02
525,,0.28,,,
528,,,,0.04,0.08
529,,,0.2,0.12,0.16
536,,,0.1,,0.04
541,,1.4,2.0,1.96,1.26
544,,,0.1,0.04,0.06
