,0,1,2,3,4
834,,,0.7,0.32,0.44
852,,0.28,,0.04,
863,,,,0.04,0.02
872,,,,,0.04
880,,0.14,,0.12,0.18
884,,,,0.04,0.02
954,,0.28,0.4,0.68,0.84
978,,,0.3,0.24,0.12
989,,0.28,0.1,0.04,0.02
1008,,0.84,3.1,1.84,2.0
1010,,0.28,0.1,0.04,
1015,,,,0.04,
1017,,4.48,3.1,1.48,0.52
1045,,0.28,,0.04,0.04
1050,,0.14,0.1,0.04,
1052,,,0.1,,
1056,,0.56,1.1,0.36,0.3
1076,,0.14,,0.04,0.04
