,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
401,19.2,15.19,13.2,4.68,2.29,54.56
321,14.9,14.49,15.4,6.24,3.45,54.48
750,35.4,10.78,5.7,1.68,0.8,54.36
694,21.1,16.38,10.45,4.5,1.81,54.24000000000001
52,19.3,14.49,12.65,5.1,2.64,54.18
171,25.8,14.14,8.85,3.5,1.51,53.8
483,19.0,15.05,12.2,5.06,2.44,53.75
531,25.7,13.65,9.5,3.28,1.31,53.44000000000001
565,18.5,15.33,11.8,5.22,2.31,53.16
311,20.8,14.63,11.15,3.92,2.32,52.82
484,26.5,14.91,7.45,2.7,1.14,52.7
481,15.7,17.01,12.65,4.7,2.62,52.68
455,21.2,14.84,10.85,4.1,1.65,52.64
674,20.3,12.67,12.15,5.02,2.47,52.61
156,22.4,14.91,9.45,3.78,1.91,52.45
759,26.9,13.02,8.05,2.78,1.22,51.97
133,15.2,16.66,12.2,5.24,2.47,51.77
312,15.9,14.84,12.85,5.28,2.71,51.58000000000001
552,31.9,9.8,6.45,2.32,0.91,51.38
587,16.0,15.68,11.75,4.6,2.4,50.43
420,15.2,15.75,11.3,5.2,2.92,50.37000000000001
492,17.7,13.44,10.95,5.34,2.52,49.95000000000001
325,18.4,14.35,10.0,4.78,2.3,49.83
479,18.0,14.91,10.6,4.22,2.04,49.77
638,18.5,14.7,10.85,3.8,1.82,49.67
746,16.9,13.79,11.75,4.7,2.02,49.16
178,28.6,11.13,5.9,2.28,0.97,48.88
238,18.7,13.16,10.75,4.54,1.73,48.88
334,14.8,14.35,12.4,4.66,2.63,48.84
369,18.9,13.02,9.8,4.68,2.23,48.63
733,20.3,12.6,10.2,3.7,1.67,48.47
662,15.8,14.14,10.65,5.34,2.49,48.42000000000001
615,32.3,10.08,4.5,0.8,0.44,48.11999999999999
470,11.5,16.87,12.85,4.68,2.15,48.05
176,15.2,15.4,11.2,4.08,2.02,47.9
151,29.8,9.1,5.95,2.06,0.87,47.78
603,15.7,14.42,11.2,4.0,2.37,47.68999999999999
617,13.0,13.02,12.5,5.64,3.39,47.55
389,30.0,10.5,4.95,1.6,0.47,47.52
727,17.6,15.05,9.5,3.64,1.72,47.51000000000001
661,15.5,14.0,10.7,4.44,2.41,47.05
476,16.2,12.88,11.15,4.16,2.61,47.0
92,24.4,11.41,7.95,2.06,1.15,46.97000000000001
105,15.1,12.46,11.95,4.94,2.23,46.68
581,16.4,11.9,11.25,4.68,2.42,46.65
26,14.9,16.87,9.45,3.54,1.78,46.54
102,14.8,14.63,10.15,4.48,2.27,46.33000000000001
461,16.0,10.92,10.95,5.18,2.77,45.82000000000001
758,13.0,13.79,11.45,4.54,2.29,45.06999999999999
605,13.2,12.46,11.65,5.52,2.18,45.01
567,8.1,15.54,12.2,6.32,2.76,44.92
717,11.3,15.75,10.55,5.0,2.29,44.89
385,14.5,12.88,11.05,4.36,1.96,44.75000000000001
31,15.4,12.25,10.5,4.12,2.02,44.29
217,14.3,13.16,9.85,4.32,2.2,43.83000000000001
6,12.9,14.0,10.2,4.4,2.33,43.82999999999999
557,11.6,14.42,11.15,4.18,2.08,43.43
90,13.5,12.53,11.3,4.42,1.62,43.37
259,8.8,15.12,12.1,4.7,2.52,43.24000000000001
195,21.7,12.25,6.15,1.8,0.76,42.66
636,13.3,12.74,10.9,3.74,1.94,42.62
773,15.9,11.9,9.1,3.76,1.93,42.59
327,24.8,10.15,5.35,1.42,0.74,42.46000000000001
762,10.8,13.72,10.0,4.72,2.47,41.71
120,17.0,11.62,8.6,3.06,1.41,41.69
487,10.9,11.62,10.85,5.52,2.73,41.62
107,13.0,11.83,10.05,4.04,2.26,41.17999999999999
29,14.8,11.55,9.9,2.96,1.8,41.01
135,10.4,10.92,11.55,4.96,2.99,40.82000000000001
157,26.5,8.61,4.0,1.08,0.58,40.77
555,8.1,13.86,11.65,4.46,2.23,40.3
211,18.6,11.13,6.85,2.64,1.01,40.23
125,9.7,13.16,10.45,4.62,2.25,40.18
460,16.7,11.69,7.55,2.9,1.33,40.17
393,4.8,15.68,12.85,4.56,2.28,40.17
486,18.2,11.9,6.3,2.52,1.16,40.08
20,18.9,10.92,6.65,2.18,0.83,39.48
16,14.9,11.62,7.6,3.08,1.75,38.95
634,13.7,10.29,8.85,3.94,1.83,38.60999999999999
50,12.7,10.92,9.1,3.58,2.04,38.34
378,11.8,11.27,9.0,4.1,2.04,38.21
263,12.3,10.92,9.05,3.7,1.91,37.88
166,19.0,9.52,6.35,2.06,0.9,37.83
596,,16.66,13.55,5.3,2.32,37.83
109,13.9,9.45,8.3,3.86,1.87,37.38
682,12.2,11.69,7.1,4.08,2.08,37.15
490,7.4,11.55,10.1,5.32,2.68,37.05
91,9.6,11.9,9.45,3.94,2.05,36.94
721,8.0,11.76,9.95,4.22,2.13,36.06
37,9.0,10.99,9.05,4.64,2.11,35.79
3,18.0,7.42,6.85,2.34,1.11,35.72
736,11.1,12.32,7.75,3.06,1.42,35.65000000000001
499,9.7,10.36,8.5,4.54,2.45,35.55000000000001
687,19.3,8.33,4.8,2.08,0.96,35.47
387,11.5,8.33,9.7,3.98,1.89,35.4
407,9.1,10.64,8.9,4.06,2.67,35.37000000000001
313,9.1,10.78,8.8,4.36,2.0,35.04
170,10.3,9.66,8.95,4.08,2.01,35.0
255,10.4,10.22,8.25,3.92,1.96,34.75
272,9.9,9.73,8.95,4.22,1.88,34.68000000000001
449,,16.38,10.8,4.88,2.49,34.550000000000004
423,9.1,10.57,9.5,3.12,2.22,34.51
360,6.7,11.06,9.55,4.36,2.39,34.06
32,18.4,8.61,4.45,1.78,0.74,33.98
316,7.3,12.88,9.0,2.88,1.45,33.510000000000005
293,6.4,10.36,9.6,4.62,2.49,33.47
622,11.7,9.73,7.25,3.32,1.33,33.33
429,10.5,10.29,7.15,3.26,1.78,32.98
349,16.4,8.26,5.35,2.04,0.84,32.89
421,11.2,10.78,6.6,2.84,1.38,32.8
412,6.6,9.87,9.95,3.96,2.35,32.73
658,9.7,10.29,8.05,2.84,1.56,32.44
118,10.4,10.15,7.05,3.04,1.79,32.43
89,10.1,9.73,7.65,3.42,1.52,32.42
558,6.7,10.92,8.6,3.98,1.99,32.19
363,14.9,8.05,6.1,2.16,0.93,32.14000000000001
656,9.7,9.38,8.1,3.2,1.56,31.94
760,9.7,8.47,8.1,3.64,1.69,31.600000000000005
734,9.8,9.45,6.8,3.6,1.88,31.53
585,12.8,9.17,5.8,2.44,1.01,31.22
190,7.8,9.8,8.0,3.44,2.12,31.160000000000004
23,14.8,10.01,4.45,1.28,0.58,31.12
526,9.6,9.1,7.25,3.44,1.65,31.04
649,7.6,8.54,9.1,3.82,1.97,31.03
215,7.4,9.59,8.35,3.8,1.88,31.020000000000003
84,12.3,9.38,5.45,2.42,1.36,30.91
616,10.7,8.54,7.6,2.8,1.21,30.85
577,7.8,10.29,7.4,3.76,1.57,30.82
342,13.7,9.1,5.5,1.68,0.83,30.809999999999995
502,8.6,9.45,7.55,3.18,2.0,30.78
114,5.1,9.87,9.1,4.06,2.46,30.59
726,9.0,8.68,7.75,3.32,1.81,30.56
377,16.0,7.07,5.0,1.68,0.71,30.46
132,6.6,8.05,8.5,4.9,2.39,30.44
224,7.5,9.24,8.45,2.92,1.68,29.79
536,6.5,8.47,7.85,4.36,2.43,29.61
398,18.6,6.37,3.1,0.98,0.51,29.56000000000001
273,6.2,8.75,8.2,4.2,2.19,29.54
350,21.1,4.34,2.55,0.92,0.51,29.420000000000005
478,7.5,8.47,8.4,3.38,1.62,29.37
612,5.1,8.47,8.35,4.4,2.59,28.91
252,20.1,5.04,2.35,0.94,0.31,28.74
40,9.2,6.93,7.6,3.06,1.84,28.629999999999995
152,10.0,8.26,6.45,2.52,1.21,28.44
113,10.6,12.18,3.9,1.06,0.64,28.38
770,6.7,8.68,7.15,3.86,1.86,28.25
511,12.5,7.35,5.35,2.1,0.9,28.20000000000001
193,8.3,8.05,6.55,3.26,1.92,28.080000000000005
80,2.6,9.52,9.5,3.82,2.42,27.86
161,7.0,8.26,7.7,3.14,1.64,27.74
699,4.1,10.29,7.85,3.32,1.98,27.54
691,6.6,8.33,7.3,3.48,1.72,27.43
262,6.0,8.47,7.95,3.34,1.59,27.35
433,7.7,7.56,7.25,3.22,1.6,27.33
356,4.6,7.91,8.05,4.44,2.26,27.260000000000005
139,6.3,9.52,7.05,2.74,1.6,27.21
169,6.3,7.7,7.5,3.72,1.9,27.12
173,8.5,7.42,6.8,2.74,1.66,27.12
535,5.3,8.82,7.05,3.98,1.79,26.94
698,7.4,7.56,6.75,3.38,1.76,26.85
38,8.6,7.0,6.5,3.0,1.7,26.8
271,17.2,5.25,2.95,0.86,0.43,26.69
115,6.7,7.98,6.7,3.26,1.99,26.63
85,7.2,8.68,5.9,3.06,1.59,26.43
766,13.4,5.67,4.6,1.8,0.64,26.11000000000001
739,7.9,6.51,6.85,2.84,1.87,25.97
103,,10.78,8.75,4.2,2.06,25.79
505,4.1,8.54,8.0,3.18,1.87,25.69
61,5.8,7.28,7.35,3.54,1.62,25.59
382,9.6,9.17,4.55,1.5,0.72,25.54
108,6.8,7.7,6.15,3.06,1.77,25.48
424,10.7,6.51,5.75,1.72,0.75,25.43
716,5.3,7.7,7.55,3.12,1.54,25.21
653,0.3,13.23,7.65,2.66,1.09,24.93
351,6.7,7.07,6.25,3.18,1.72,24.92
77,6.9,7.21,6.75,2.46,1.44,24.76
720,12.3,8.33,3.0,0.66,0.26,24.550000000000004
749,4.1,7.63,6.75,3.68,2.36,24.52
39,6.9,7.28,5.95,2.68,1.64,24.45
251,4.9,6.65,7.05,3.56,1.79,23.95
547,9.9,6.93,4.75,1.52,0.76,23.86
254,2.0,6.51,8.6,4.0,2.31,23.42
97,7.3,7.42,5.35,2.1,1.23,23.4
260,5.2,5.11,7.15,3.62,1.98,23.06
347,4.5,5.67,7.95,3.08,1.84,23.04000000000001
233,4.5,7.49,6.65,2.72,1.65,23.01
465,2.1,6.02,8.05,4.52,2.14,22.83
36,3.0,6.86,7.15,3.68,2.07,22.76
183,6.5,8.75,4.7,1.68,0.76,22.39
57,6.5,6.23,5.6,2.52,1.4,22.25
522,13.8,4.48,2.7,0.62,0.3,21.9
208,10.3,5.81,3.35,1.8,0.63,21.89
274,14.0,4.62,2.05,0.54,0.3,21.51
494,5.1,6.37,5.9,2.44,1.65,21.46
186,13.7,3.99,2.35,0.86,0.38,21.28
338,4.2,6.65,6.1,2.68,1.6,21.230000000000004
348,3.3,5.95,6.55,3.02,2.37,21.19
376,4.3,6.58,6.0,2.66,1.64,21.18
27,5.2,6.65,4.85,3.02,1.44,21.160000000000004
134,5.5,5.95,5.15,2.8,1.67,21.07
43,5.4,5.46,5.45,3.18,1.58,21.07
537,8.3,5.95,4.4,1.54,0.88,21.07
529,3.0,5.88,6.8,3.14,1.88,20.7
74,4.9,5.6,6.05,2.6,1.49,20.64
197,3.8,4.9,6.1,3.56,1.97,20.33
556,3.5,5.74,6.05,2.84,2.17,20.3
210,6.7,5.53,4.6,2.06,1.39,20.28
175,5.6,5.74,5.3,2.22,1.42,20.28
121,9.0,5.67,3.4,1.26,0.73,20.06
269,4.9,5.88,5.45,2.46,1.36,20.05
670,4.6,6.65,4.8,2.6,1.39,20.040000000000006
13,6.4,6.23,4.5,1.92,0.97,20.020000000000003
49,3.6,4.62,6.6,3.4,1.68,19.9
768,9.0,7.14,2.75,0.7,0.24,19.83
362,10.7,5.6,2.5,0.72,0.27,19.79
283,4.9,6.16,4.95,2.4,1.22,19.63
592,5.3,4.62,6.0,2.28,1.35,19.55
527,4.8,5.74,5.55,2.18,1.22,19.49
414,2.8,5.32,6.75,2.7,1.91,19.48
110,4.7,5.25,5.9,2.22,1.32,19.39
506,2.2,5.04,6.45,3.48,2.21,19.380000000000006
744,4.8,5.04,5.7,2.44,1.24,19.22
709,,9.59,6.5,2.2,0.84,19.13
257,3.1,5.81,5.55,2.82,1.69,18.97
19,7.8,5.18,3.8,1.16,0.49,18.43
623,7.8,3.08,5.1,1.7,0.74,18.42
73,10.3,3.57,2.9,1.04,0.36,18.17
747,4.2,5.95,5.2,1.86,0.82,18.03
530,4.3,4.41,5.45,2.26,1.5,17.92
9,8.0,5.11,2.75,1.4,0.66,17.919999999999995
48,4.7,5.95,4.3,2.08,0.87,17.900000000000006
633,7.6,4.69,3.2,1.66,0.73,17.88
397,3.7,5.25,4.5,2.62,1.7,17.77
688,3.9,4.97,5.25,2.12,1.43,17.669999999999995
693,8.0,4.62,3.3,0.86,0.6,17.380000000000006
655,6.9,4.41,3.45,1.58,0.8,17.140000000000004
219,2.8,4.55,5.15,2.88,1.68,17.06
686,4.2,4.55,4.95,2.3,1.01,17.01
296,1.6,5.88,5.6,2.5,1.41,16.99
117,4.4,5.39,3.95,2.06,1.13,16.93
406,11.0,3.29,1.8,0.6,0.18,16.87
119,2.4,4.62,5.6,2.72,1.42,16.759999999999998
512,1.7,4.34,5.55,3.04,1.86,16.49
755,3.7,4.62,4.75,1.96,1.43,16.46
70,3.4,3.99,4.85,2.72,1.45,16.41
568,1.5,3.99,5.7,3.24,1.96,16.39
576,3.6,4.27,5.0,2.18,1.2,16.25
264,4.2,4.76,4.25,1.68,1.24,16.13
