,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
588,14.8,12.46,7.0,3.4,1.36,39.02
269,12.2,10.92,9.8,3.96,2.12,39.0
90,10.4,11.34,11.0,4.24,1.92,38.90000000000001
732,9.8,11.2,9.4,5.32,3.14,38.86
67,5.0,11.76,11.8,6.24,3.46,38.26
417,17.6,9.52,7.9,1.88,1.22,38.12000000000001
736,11.6,10.22,9.9,3.92,1.86,37.5
360,10.0,10.92,9.2,4.16,2.56,36.84
373,15.6,10.92,6.7,2.24,1.12,36.58
237,4.6,9.94,11.3,6.04,3.64,35.52
688,8.8,10.22,9.1,4.6,2.66,35.38000000000001
648,13.4,10.64,6.7,2.92,1.42,35.08
308,11.4,9.94,8.9,3.04,1.64,34.92
125,2.8,12.88,10.6,5.84,2.8,34.92
496,12.2,10.36,6.6,3.2,1.92,34.28
576,7.0,11.48,7.9,4.6,2.72,33.7
379,16.2,8.26,6.0,2.0,1.16,33.62
573,9.8,10.22,7.7,3.92,1.9,33.54
96,17.6,8.68,4.7,1.52,0.94,33.44
543,6.2,9.8,9.4,5.16,2.68,33.24
391,3.4,7.7,12.0,5.92,4.02,33.040000000000006
637,17.6,6.72,5.6,1.76,0.88,32.56
369,10.0,9.38,6.6,4.12,2.12,32.22000000000001
589,11.4,8.96,7.0,3.56,1.22,32.14
276,4.8,9.1,10.4,4.64,2.9,31.84
593,3.6,7.56,10.7,5.44,3.92,31.22
726,9.0,6.3,9.8,3.84,2.0,30.94
105,9.8,10.5,6.7,2.68,1.24,30.92
3,11.6,9.8,6.0,2.44,0.94,30.78
262,6.4,7.7,9.2,4.32,2.86,30.48
444,10.0,9.1,6.1,2.8,1.7,29.700000000000006
407,8.8,8.26,7.4,3.4,1.6,29.46
723,11.2,8.68,5.7,2.32,0.88,28.78
61,4.2,9.1,8.1,4.8,2.52,28.72
671,10.4,9.52,5.3,2.24,1.16,28.62
629,6.8,7.7,9.1,3.2,1.7,28.5
264,7.0,7.98,7.9,3.44,2.16,28.480000000000004
133,10.2,6.86,6.5,2.68,1.56,27.8
316,3.0,11.34,7.1,3.24,2.04,26.72
519,9.0,5.6,6.5,3.2,1.7,26.0
604,6.6,6.58,7.0,3.68,2.04,25.9
744,4.2,6.44,8.2,3.88,3.06,25.78
273,6.6,7.56,7.0,2.44,1.5,25.1
650,8.0,6.58,5.9,2.88,1.28,24.64
636,6.2,9.24,6.0,1.96,1.2,24.6
747,7.8,7.0,6.4,2.12,1.2,24.520000000000003
181,11.2,6.58,3.7,2.0,0.88,24.36
737,0.4,9.66,9.4,3.16,1.68,24.3
388,19.0,3.5,1.6,0.04,0.06,24.2
714,15.6,5.6,1.9,0.72,0.16,23.98
