,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
529,1.0,23.0,42.0,49.0,68.0
23,,2.0,5.0,7.0,19.0
24,,37.0,71.0,90.0,125.0
28,,25.0,127.0,280.0,531.0
31,,,37.0,71.0,90.0
38,,,,37.0,71.0
43,,,,4.0,36.0
51,,5.0,3.0,6.0,3.0
52,,,,,37.0
65,,13.0,8.0,10.0,12.0
72,,,25.0,127.0,280.0
82,,1.0,2.0,2.0,6.0
91,,,,,1.0
99,,,8.0,7.0,51.0
103,,2.0,2.0,1.0,1.0
112,,7.0,19.0,41.0,67.0
129,,,,,4.0
133,,,,8.0,7.0
135,,,,25.0,127.0
158,,,,,8.0
175,,3.0,28.0,45.0,113.0
195,,,,2.0,
219,,2.0,3.0,4.0,19.0
221,,,7.0,19.0,41.0
233,,,,,25.0
235,,5173.0,37210.0,42324.0,35241.0
242,,,,3.0,1.0
246,,,1.0,,
249,,,,1.0,
254,,,1.0,4.0,1.0
270,,,1.0,,1.0
274,,2.0,10.0,5.0,2.0
306,,10.0,10.0,20.0,24.0
313,,,,7.0,19.0
329,,1.0,3.0,3.0,8.0
335,,1.0,,2.0,4.0
341,,1.0,7.0,10.0,16.0
382,,,,,1.0
396,,1.0,2.0,9.0,6.0
412,,,1.0,,
424,,29.0,64.0,69.0,84.0
427,,,,3.0,5.0
457,,,1.0,,3.0
467,,12.0,13.0,27.0,38.0
474,,1.0,2.0,7.0,28.0
567,,,19.0,53.0,50.0
568,,,3.0,2.0,9.0
570,,23.0,51.0,45.0,71.0
589,,1.0,1.0,1.0,4.0
592,,2.0,2.0,,
600,,,,,1.0
629,,1.0,1.0,,
630,,,,1.0,
636,,12361.0,12784.0,12036.0,11641.0
702,,,,4.0,9.0
743,,,1.0,1.0,
746,,,,3.0,23.0
747,,,2.0,3.0,
751,,110.0,120.0,132.0,100.0
758,,,,,3.0
761,,32.0,73.0,129.0,211.0
781,,,3.0,2.0,1.0
786,,3.0,6.0,3.0,6.0
813,,3.0,30.0,89.0,149.0
820,,,,,1.0
823,,,,,1.0
825,,,,,1.0
852,,3.0,,1.0,2.0
865,,,,,7.0
872,,,,,3.0
880,,3.0,16.0,25.0,43.0
883,,,,,1.0
884,,,,2.0,5.0
937,,,,1.0,
946,,,,3.0,6.0
989,,2.0,3.0,3.0,4.0
1008,,56.0,258.0,476.0,717.0
1015,,4.0,1.0,6.0,17.0
1017,,450.0,385.0,438.0,399.0
1020,,,,2.0,2.0
1025,,,,1.0,1.0
1052,,,,1.0,4.0
1056,,,3.0,10.0,12.0
1076,,3.0,4.0,6.0,13.0
